X_DT,M_Paid_Views,M_Organic_Views,M_Google_Impressions,M_Email_Impressions,M_Facebook_Impressions,M_Affiliate_Impressions,M_Overall_Views,O_Sales,D_Thanksgiving,D_CyberMonday,D_ValentinesDay,D_PresidentsDay,D_BackToSchoolSale,D_LaborDay,D_YomKippur,D_ColumbusDay,D_Halloween,D_VeteransDay,D_Christmas,D_NewYearsDay,EC_CPI,EC_RTL_SALES
5/18/2019,620398,479358,19082748,16268319.35,7191604,435063,1086806,3051268,0,0,0,0,0,0,0,0,0,0,0,0,249.871,1343682
5/25/2019,647740,431214,26451078,15813191.09,8363245,428466,1067225,3769498,0,0,0,0,0,0,0,0,0,0,0,0,249.871,1343682
6/1/2019,794009,519111,25212157,13832782.96,2803569,426029,1302126,3569864,0,0,0,0,0,0,0,0,0,0,0,0,249.747,1343682
6/8/2019,3028085,726959,23224063,12855887.72,6446214,521762,3741069,3041778,0,0,0,0,0,0,0,0,0,0,0,0,249.747,1343682
6/15/2019,1951178,754831,16796082,13821041.51,7222111,561964,2691104,4149496,0,0,0,0,0,0,0,0,0,0,0,0,249.747,1343682
6/22/2019,984466,711936,11569958,16625359.69,6582907,468906,1682362,4002927,0,0,0,0,0,0,0,0,0,0,0,0,249.747,1343682
6/29/2019,1073422,695309,20299252,17099002.67,4205888,418169,1758060,3489912,0,0,0,0,0,0,0,0,0,0,0,0,249.747,1343682
7/6/2019,961772,695941,26492092,15948260.18,3482629,506954,1639639,3060114,0,0,0,0,0,0,0,0,0,0,0,0,250.236,1360161
7/13/2019,906180,1176310,30984018,10070688.64,8634096,676623,2070877,4732775,0,0,0,0,1,0,0,0,0,0,0,0,250.236,1360161
7/20/2019,841891,1534123,25702604,21216656.39,4886863,661303,2360423,4061755,0,0,0,0,1,0,0,0,0,0,0,0,250.236,1360161
7/27/2019,1170437,1248755,26402967,13438104.14,6606429,600482,2407770,2940568,0,0,0,0,0,0,0,0,0,0,0,0,250.236,1360161
8/3/2019,2093485,1563051,12790563,10572778.43,2618736,475946,3641274,3444273,0,0,0,0,0,0,0,0,0,0,0,0,250.112,1360161
8/10/2019,1160999,1748672,15017386,12937268.86,3694490,549231,2897422,2639689,0,0,0,0,0,0,0,0,0,0,0,0,250.112,1360161
8/17/2019,1134237,1610980,18166942,14115384.62,5151809,547088,2729774,3641524,0,0,0,0,0,0,0,0,0,0,0,0,250.112,1360161
8/24/2019,1112515,1133593,22988771,14014100.44,3698284,533164,2233240,5357957,0,0,0,0,0,0,0,0,0,0,0,0,250.112,1360161
8/31/2019,1020314,675557,16556194,15214106.24,3728146,491883,1683098,4059006,0,0,0,0,0,1,0,0,0,0,0,0,250.112,1360161
9/7/2019,1138095,598208,24542301,18972216.75,8934382,423384,1724368,4647893,0,0,0,0,0,0,0,0,0,0,0,0,250.251,1360161
9/14/2019,1090073,440895,14965940,24132267.85,8026630,461965,1520488,4998515,0,0,0,0,0,0,0,0,0,0,0,0,250.251,1360161
9/21/2019,1121414,428706,15136200,24474914.28,13960015,453255,1539914,3630254,0,0,0,0,0,0,0,0,0,0,0,0,250.251,1360161
9/28/2019,1417973,593213,27133776,14474624.26,41520015,527047,1997375,3961686,0,0,0,0,0,0,0,0,0,0,0,0,250.251,1360161
10/5/2019,346466,714581,29186021,20919422.61,10568113,440648,1050554,7391184,0,0,0,0,0,0,1,0,0,0,0,0,250.894,1367465
10/12/2019,345134,424702,25304317,22286715.98,11633576,432730,752430,6041319,0,0,0,0,0,0,0,1,0,0,0,0,250.894,1367465
10/19/2019,568666,440450,23117322,19844147.98,10216821,506931,998844,6706055,0,0,0,0,0,0,0,0,0,0,0,0,250.894,1367465
10/26/2019,466893,432277,44525702,19499539.56,8942047,479595,889006,5784855,0,0,0,0,0,0,0,0,1,0,0,0,250.894,1367465
11/2/2019,497815,522671,50406132,17861560.75,9851033,460359,1008355,5510360,0,0,0,0,0,0,0,0,0,0,0,0,250.644,1367465
11/9/2019,488833,664472,105672322,28727108.82,16128342,435189,1142184,9787195,0,0,0,0,0,0,0,0,0,1,0,0,250.644,1367465
11/16/2019,545506,971532,110389745,37100276.49,28225394,427214,1507235,10530415,0,0,0,0,0,0,0,0,0,0,0,0,250.644,1367465
11/23/2019,355104,837796,91712752,20102444.59,54671271,450843,1182369,10796746,1,0,0,0,0,0,0,0,0,0,0,0,250.644,1367465
11/30/2019,381610,627703,100365503,37045291,31809611,432325,992350,20268268,0,1,0,0,0,0,0,0,0,0,0,0,250.644,1367465
12/7/2019,361817,559500,47072866,33964016.26,31720701,443330,906924,19532123,0,0,0,0,0,0,0,0,0,0,0,0,250.452,1367465
12/14/2019,379710,618528,17571544,20288081.31,30061630,327009,986059,14025851,0,0,0,0,0,0,0,0,0,0,0,0,250.452,1367465
12/21/2019,336562,541163,14338935,20535705.05,15391276,332311,867402,9262108,0,0,0,0,0,0,0,0,0,0,1,0,250.452,1367465
12/28/2019,358423,630369,26330306,14047290.59,4795781,487925,973056,5660779,0,0,0,0,0,0,0,0,0,0,0,1,250.452,1367465
1/4/2020,1267609,765170,13573041,16213020.98,4180092,415174,2018759,5809990,0,0,0,0,0,0,0,0,0,0,0,0,251.361,1342864
1/11/2020,394155,918310,12966583,21527837.7,5756442,484086,1304057,4238487,0,0,0,0,0,0,0,0,0,0,0,0,251.361,1342864
1/18/2020,805143,838833,14589320,20395512.22,6668410,491721,1633419,4864566,0,0,0,0,0,0,0,0,0,0,0,0,251.361,1342864
1/25/2020,986633,807711,24384629,16870807.02,5283134,488604,1781964,3674200,0,0,0,0,0,0,0,0,0,0,0,0,251.361,1342864
2/1/2020,1173102,958532,26905596,52599515.53,1899509,452385,2122081,3637978,0,0,0,0,0,0,0,0,0,0,0,0,251.935,1342864
2/8/2020,1114954,1015916,27657456,19262885.83,7646633,396513,2118864,3723924,0,0,1,0,0,0,0,0,0,0,0,0,251.935,1342864
2/15/2020,1047385,1199619,19928546,15238385.82,13503012,438225,2240520,6589887,0,0,0,1,0,0,0,0,0,0,0,0,251.935,1342864
2/22/2020,870117,1173041,20347708,21938172.52,13562467,503997,2029265,5556582,0,0,0,0,0,0,0,0,0,0,0,0,251.935,1342864
2/29/2020,696251,1042717,19400121,15809172.45,6325847,449455,1723917,4446156,0,0,0,0,0,0,0,0,0,0,0,0,251.935,1342864
